Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
50,Travel_Frequently,286,Research & Development,8,1,Life Sciences,1,2,3,Male,63,2,2,Research Scientist,1,Married,5387,25530,1,Y,No,5,2,2,80,1,11,6,3,11,7,2,8
34,Travel_Frequently,1462,Research & Development,5,4,Life Sciences,1,5,2,Female,59,3,1,Research Scientist,1,Married,3316,24317,1,Y,Yes,14,4,4,80,0,9,6,3,9,7,4,1
28,Travel_Rarely,606,Research & Development,2,1,Medical,1,7,1,Male,41,3,1,Laboratory Technician,4,Divorced,3954,17048,9,Y,No,14,2,2,80,1,7,1,3,3,2,3,3
33,Travel_Frequently,1307,Research & Development,4,2,Life Sciences,1,8,2,Male,103,3,1,Laboratory Technician,2,Single,3221,15423,0,Y,No,5,5,4,80,0,9,2,2,8,7,4,7
60,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,1,Female,81,4,1,Laboratory Technician,1,Married,2804,9964,4,Y,No,5,2,1,80,3,13,0,4,2,0,1,1
31,Travel_Rarely,1392,Research & Development,24,1,Life Sciences,1,11,1,Male,69,3,1,Laboratory Technician,4,Divorced,3097,13668,1,Y,No,15,4,4,80,1,2,2,3,2,0,1,1
39,Travel_Frequently,221,Research & Development,12,3,Life Sciences,1,12,1,Male,45,1,3,Manufacturing Director,1,Single,11145,9007,0,Y,No,17,4,1,80,0,11,2,1,10,7,2,9
37,Travel_Rarely,1429,Research & Development,20,3,Medical,1,13,1,Male,103,3,2,Healthcare Representative,1,Married,6023,18235,6,Y,No,15,4,1,80,2,18,3,1,8,7,8,8
36,Travel_Rarely,1052,Research & Development,16,3,Medical,1,14,2,Male,109,4,1,Laboratory Technician,3,Married,2547,21423,0,Y,No,5,4,4,80,1,7,5,3,6,4,1,4
30,Travel_Rarely,157,Research & Development,15,2,Life Sciences,1,15,2,Female,50,2,2,Laboratory Technician,3,Single,4906,12999,0,Y,Yes,17,4,5,80,0,11,3,3,10,5,1,0
32,Travel_Rarely,737,Research & Development,26,1,Life Sciences,1,16,4,Male,34,1,1,Research Scientist,1,Divorced,3348,16687,1,Y,No,15,2,2,80,1,6,1,1,6,2,5,4
35,Travel_Rarely,1884,Research & Development,10,2,Medical,1,18,2,Male,130,3,1,Laboratory Technician,2,Divorced,2794,12261,0,Y,No,5,5,4,80,1,4,-1,3,3,2,2,3
30,Travel_Rarely,1806,Research & Development,21,4,Life Sciences,1,20,4,Female,66,4,5,Manufacturing Director,1,Married,12275,13254,1,Y,No,23,4,1,80,1,11,1,1,11,9,9,9
33,Travel_Rarely,401,Research & Development,5,2,Life Sciences,1,21,1,Male,96,5,3,Research Director,4,Divorced,4057,18064,0,Y,Yes,23,5,2,80,3,8,6,2,7,0,0,6
23,Non-Travel,1179,Research & Development,8,2,Medical,1,22,5,Male,101,1,1,Laboratory Technician,4,Divorced,3375,7690,1,Y,No,15,2,4,80,2,2,2,2,2,0,1,1
54,Travel_Rarely,1463,Sales,2,4,Life Sciences,1,23,2,Female,94,1,4,Manager,4,Married,18512,26425,2,Y,No,20,4,4,80,0,32,3,1,26,8,4,8
39,Travel_Rarely,380,Research & Development,3,3,Life Sciences,1,24,5,Male,46,3,1,Research Scientist,5,Married,4614,4414,5,Y,Yes,17,3,1,80,0,7,6,3,4,2,2,0
25,Non-Travel,690,Research & Development,11,2,Other,1,26,1,Female,98,1,2,Manufacturing Director,4,Divorced,4212,8438,0,Y,No,5,4,5,80,1,6,4,2,5,2,2,4
35,Travel_Rarely,503,Research & Development,7,4,Life Sciences,1,28,2,Female,64,3,5,Research Director,4,Single,14753,25552,0,Y,No,23,2,4,80,0,14,5,3,13,6,3,12
22,Travel_Rarely,430,Research & Development,8,2,Life Sciences,1,30,1,Male,106,3,1,Research Scientist,2,Single,1294,21209,1,Y,No,5,3,2,80,0,1,9,3,1,0,1,1
54,Travel_Rarely,1314,Research & Development,3,3,Other,1,32,4,Female,59,3,5,Manager,1,Divorced,22340,11003,4,Y,No,17,3,2,80,1,27,3,2,15,13,5,9
43,Travel_Rarely,898,Sales,8,4,Marketing,1,35,4,Male,62,3,4,Sales Executive,1,Married,8395,27525,0,Y,No,23,4,4,80,1,11,2,3,10,7,5,3
45,Travel_Rarely,489,Research & Development,14,4,Medical,1,36,0,Female,43,1,3,Healthcare Representative,5,Married,11785,2146,3,Y,No,15,3,2,80,1,25,7,3,23,6,6,18
47,Travel_Rarely,776,Sales,2,4,Marketing,1,38,4,Female,91,1,5,Manager,1,Single,22168,25104,3,Y,No,17,4,5,80,0,23,2,2,3,2,3,2
34,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,2,Male,78,3,1,Laboratory Technician,3,Married,2621,6670,4,Y,No,5,2,4,80,0,8,5,3,2,1,1,1
45,Travel_Rarely,1459,Research & Development,5,4,Other,1,40,3,Male,41,3,2,Healthcare Representative,2,Divorced,7176,19121,2,Y,Yes,11,3,2,80,0,10,3,4,5,2,2,4
31,Travel_Rarely,163,Research & Development,5,2,Medical,1,41,2,Male,108,2,1,Laboratory Technician,1,Married,2669,20952,1,Y,No,21,5,2,80,0,11,5,3,11,0,2,9
44,Travel_Rarely,1305,Research & Development,2,2,Medical,1,46,5,Female,74,4,1,Research Scientist,1,Divorced,2777,22471,1,Y,No,5,2,4,80,2,7,6,2,6,3,2,5
36,Travel_Rarely,1068,Sales,2,3,Marketing,1,49,2,Female,116,3,2,Manager,4,Married,2115,11624,1,Y,No,5,2,1,80,0,3,3,3,3,0,0,3
37,Travel_Rarely,937,Research & Development,5,4,Life Sciences,1,51,4,Female,90,2,1,Research Scientist,4,Married,4000,14379,9,Y,No,17,2,1,80,1,7,3,1,2,1,1,0
34,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,2,Female,42,4,2,Sales Executive,1,Married,5645,3193,2,Y,No,5,3,1,80,2,11,3,3,6,3,2,0
36,Travel_Rarely,476,Research & Development,6,2,Other,1,53,1,Male,77,1,1,Laboratory Technician,5,Divorced,2224,11183,1,Y,No,14,4,1,80,1,2,5,3,2,0,1,0
28,Travel_Rarely,1271,Research & Development,1,4,Life Sciences,1,54,1,Female,34,3,1,Laboratory Technician,4,Divorced,2458,20208,1,Y,No,5,2,5,80,1,2,6,1,2,0,1,1
28,Travel_Frequently,1392,Sales,8,3,Life Sciences,1,56,4,Male,52,3,3,Sales Executive,4,Single,10733,4165,1,Y,No,23,4,4,80,0,10,3,3,10,8,2,8
31,Travel_Frequently,793,Research & Development,1,2,Medical,1,57,4,Female,64,4,2,Laboratory Technician,2,Single,4212,11859,1,Y,No,5,3,2,80,0,13,5,4,13,8,4,8
35,Non-Travel,1118,Sales,23,4,Marketing,1,60,1,Male,76,3,2,Sales Executive,1,Single,4796,10536,0,Y,No,5,4,1,80,0,11,-1,3,10,5,9,8
38,Travel_Rarely,449,Research & Development,14,2,Life Sciences,1,61,4,Male,80,3,1,Research Scientist,4,Married,3475,11250,4,Y,No,15,3,1,80,0,9,1,3,2,0,1,1
47,Travel_Frequently,1332,Sales,5,4,Marketing,1,62,1,Male,108,1,2,Sales Executive,4,Single,6061,22490,4,Y,Yes,5,4,3,80,0,15,7,3,10,6,1,0
36,Travel_Rarely,1260,Research & Development,8,1,Life Sciences,1,63,1,Male,37,4,1,Laboratory Technician,5,Divorced,2382,5014,1,Y,Yes,5,3,1,80,0,2,2,1,2,0,1,0
45,Travel_Rarely,1637,Sales,2,5,Marketing,1,68,1,Female,83,3,2,Sales Executive,4,Divorced,6272,4410,5,Y,Yes,15,4,4,80,1,10,2,2,5,3,2,0
36,Non-Travel,987,Research & Development,11,2,Medical,1,70,2,Male,71,4,3,Healthcare Representative,1,Divorced,10971,7472,2,Y,Yes,11,2,3,80,1,11,0,3,5,0,3,4
27,Travel_Rarely,1479,Sales,17,3,Marketing,1,72,4,Female,48,4,2,Sales Executive,2,Divorced,4864,21972,7,Y,Yes,17,2,1,80,1,6,2,2,3,2,1,1
34,Travel_Frequently,528,Research & Development,1,2,Life Sciences,1,73,1,Female,100,3,3,Research Director,4,Single,15477,15525,1,Y,Yes,15,2,1,80,0,16,0,3,16,14,9,13
36,Travel_Frequently,1109,Sales,14,5,Life Sciences,1,74,1,Male,92,3,3,Sales Executive,1,Married,9522,14340,1,Y,No,5,4,4,80,1,10,3,4,10,8,2,9
36,Travel_Rarely,1485,Research & Development,46,4,Medical,1,75,4,Female,39,3,1,Laboratory Technician,3,Divorced,4215,20803,3,Y,Yes,5,2,3,80,1,5,0,3,3,2,3,3
32,Travel_Rarely,917,Research & Development,7,4,Life Sciences,1,76,4,Male,67,3,2,Laboratory Technician,2,Divorced,6211,13339,3,Y,No,5,2,2,80,1,11,5,2,8,7,2,8
38,Travel_Rarely,1143,Research & Development,1,4,Life Sciences,1,77,4,Male,52,1,2,Manufacturing Director,4,Divorced,7012,2756,1,Y,No,17,3,1,80,1,8,4,1,8,5,1,8
33,Travel_Rarely,470,Research & Development,1,3,Medical,1,78,1,Male,36,1,2,Manufacturing Director,2,Married,7210,11965,1,Y,No,17,2,1,80,1,10,3,3,10,8,8,9
39,Travel_Frequently,686,Research & Development,15,5,Life Sciences,1,79,2,Female,53,4,2,Laboratory Technician,2,Single,2815,5729,1,Y,No,17,4,5,80,0,11,-1,1,11,3,10,10
51,Travel_Rarely,989,Research & Development,11,2,Medical,1,80,1,Female,43,1,5,Research Director,2,Divorced,20052,16701,5,Y,Yes,7,2,4,80,1,30,0,2,28,3,14,9
60,Travel_Rarely,1507,Sales,25,3,Life Sciences,1,81,1,Female,104,3,3,Sales Executive,1,Single,8935,2472,7,Y,No,17,4,2,80,0,29,3,4,22,16,8,0
37,Travel_Rarely,1101,Research & Development,12,3,Technical Degree,1,83,3,Female,53,3,3,Healthcare Representative,3,Divorced,10601,7382,1,Y,No,5,2,1,80,3,18,2,3,18,14,13,9
56,Travel_Rarely,878,Research & Development,8,3,Medical,1,84,5,Female,35,1,4,Manager,4,Divorced,16822,20717,2,Y,Yes,14,3,3,80,3,22,2,1,6,0,1,3
37,Travel_Frequently,1076,Research & Development,6,3,Life Sciences,1,85,1,Male,86,2,2,Manufacturing Director,1,Single,6824,20390,1,Y,No,5,2,1,80,0,7,6,3,7,5,1,4
46,Travel_Rarely,1406,Research & Development,7,3,Life Sciences,1,86,4,Male,62,3,3,Research Scientist,1,Divorced,11377,19726,2,Y,No,17,2,4,80,1,26,-1,1,2,0,1,1
36,Travel_Frequently,863,Research & Development,1,3,Medical,1,88,2,Male,103,3,3,Research Director,1,Married,2699,7628,4,Y,No,23,4,4,80,1,6,5,2,4,0,0,3
60,Travel_Frequently,1256,Sales,1,1,Life Sciences,1,91,4,Female,58,4,2,Sales Executive,4,Single,6403,25285,7,Y,No,17,2,5,80,0,21,5,2,5,3,2,4
30,Travel_Rarely,1461,Research & Development,2,3,Life Sciences,1,94,3,Male,84,1,1,Research Scientist,1,Married,3163,5452,0,Y,No,17,3,5,80,1,7,3,3,6,4,1,5
32,Travel_Rarely,1298,Research & Development,1,4,Medical,1,95,4,Male,104,3,3,Research Director,3,Single,3001,22530,1,Y,No,20,2,4,80,0,2,4,1,2,0,0,1
33,Travel_Rarely,562,Research & Development,1,3,Life Sciences,1,96,1,Male,68,3,2,Research Scientist,1,Married,6531,7530,1,Y,No,5,3,4,80,2,11,5,3,11,4,1,10
37,Travel_Rarely,145,Research & Development,6,3,Life Sciences,1,97,4,Female,61,1,1,Laboratory Technician,5,Married,3190,24202,3,Y,No,5,3,4,80,0,6,1,4,2,0,1,1
32,Travel_Rarely,783,Research & Development,6,4,Life Sciences,1,98,4,Female,64,3,2,Manufacturing Director,2,Single,5176,21716,1,Y,No,17,2,2,80,0,12,0,3,12,7,2,9
