EmployeeNumber,Attrition,Age,DistanceFromHome,MonthlyIncome,PercentSalaryHike,TrainingTimesLastYear,RatioYearsPerCompany,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Gender,OverTime
1,1,41,1,5993,11,0,0.888888889,6,4,0,5,1,2,2,3,2,4,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
2,0,49,8,5130,23,3,5,10,7,1,7,2,1,3,2,2,2,4,4,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4,1,37,2,2090,15,3,1,0,0,0,0,1,2,4,2,1,3,3,2,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
5,0,33,3,2909,11,3,4,8,7,3,0,2,4,4,3,1,3,3,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
7,0,27,2,3468,12,3,0.6,2,2,2,2,1,1,1,3,1,2,3,4,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,0,32,2,3068,13,2,8,7,7,3,6,2,2,4,3,1,4,3,3,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10,0,59,3,2670,20,3,2.4,1,0,0,0,1,3,3,4,1,1,4,1,3,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
11,0,30,24,2693,22,2,0.5,1,0,0,0,1,1,4,3,1,3,4,2,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,0,38,23,9526,21,2,10,9,7,1,8,2,3,4,2,3,3,4,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
13,0,36,27,5237,13,3,2.428571429,7,7,7,7,1,3,3,3,2,3,3,2,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
14,0,35,16,2426,13,5,6,5,4,0,3,1,3,1,4,1,2,3,3,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
15,0,29,15,4193,12,3,10,9,5,0,8,1,2,4,2,2,3,3,4,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
16,0,31,26,2911,17,1,2.5,5,2,4,3,1,1,1,3,1,3,3,4,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
18,0,34,19,2661,11,2,3,2,2,1,2,1,2,2,3,1,4,3,3,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19,1,28,24,2028,14,4,1,4,2,0,3,1,3,3,2,1,3,3,2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
20,0,29,21,9980,11,1,5,10,9,8,8,1,4,2,4,3,1,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
21,0,32,5,3298,12,5,7,6,2,0,5,1,2,1,4,1,2,3,4,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
22,0,22,16,2935,13,2,0.5,1,0,0,0,0,2,4,4,1,4,3,2,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,0,53,2,15427,16,3,10.33333333,25,8,3,7,1,4,1,2,4,4,3,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
24,0,38,2,3944,11,3,1,3,2,1,2,1,3,4,3,1,4,3,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
26,0,24,11,4011,18,5,5,4,2,1,3,0,2,1,4,2,3,3,4,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
27,1,36,9,3407,23,4,1.25,5,3,0,3,1,4,3,2,1,1,4,2,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
28,0,34,7,11994,11,4,13,12,6,2,11,1,4,1,3,3,2,3,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
30,0,21,15,1232,14,6,0,0,0,0,0,1,2,3,3,1,4,3,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
31,1,34,6,2960,11,2,2.666666667,4,2,1,3,1,1,2,3,1,1,3,3,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
32,0,53,5,19094,11,3,5.2,14,13,4,8,1,3,3,3,5,3,3,4,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
33,1,32,16,3919,22,5,5,10,2,6,7,2,1,2,1,1,1,4,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
35,0,42,8,6825,11,2,10,9,7,4,2,1,4,3,3,2,2,3,4,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
